brand,model,year,price,mileage,fuel_type,transmission,engine_size,color,url,description
Volvo,Unknown Model,2017,"$23,353","40,105 km",Electric,CVT,4.2L,Blue,https://www.contactcars.com/en/used-cars/volvo/unknown-model-2017,Excellent condition 2017 Volvo Unknown Model. Well maintained with full service history.
Dodge,Unknown Model,2021,"$23,900","96,546 km",Hybrid,Semi-Automatic,1.1L,Yellow,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2021,Excellent condition 2021 Dodge Unknown Model. Well maintained with full service history.
Opel,Unknown Model,2017,"$9,668","12,853 km",Diesel,CVT,4.8L,Green,https://www.contactcars.com/en/used-cars/opel/unknown-model-2017,Excellent condition 2017 Opel Unknown Model. Well maintained with full service history.
Lotus,Unknown Model,2013,"$-2,639","9,349 km",Plug-in Hybrid,Manual,4.8L,Yellow,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2013,Excellent condition 2013 Lotus Unknown Model. Well maintained with full service history.
Fiat,Unknown Model,2010,"$-9,099","69,945 km",Hybrid,Semi-Automatic,5.9L,Silver,https://www.contactcars.com/en/used-cars/fiat/unknown-model-2010,Excellent condition 2010 Fiat Unknown Model. Well maintained with full service history.
Buick,Unknown Model,2014,$0,"136,768 km",Electric,Automatic,6.6L,Gray,https://www.contactcars.com/en/used-cars/buick/unknown-model-2014,Excellent condition 2014 Buick Unknown Model. Well maintained with full service history.
Mercedes-Benz,C-Class,2017,"$19,479","77,735 km",Hybrid,Semi-Automatic,4.0L,Silver,https://www.contactcars.com/en/used-cars/mercedes-benz/c-class-2017,Excellent condition 2017 Mercedes-Benz C-Class. Well maintained with full service history.
Kia,Unknown Model,2021,"$33,718","120,100 km",Gasoline,Automatic,4.6L,Yellow,https://www.contactcars.com/en/used-cars/kia/unknown-model-2021,Excellent condition 2021 Kia Unknown Model. Well maintained with full service history.
BMW,X1,2019,"$50,670","108,877 km",Gasoline,Automatic,1.3L,White,https://www.contactcars.com/en/used-cars/bmw/x1-2019,Excellent condition 2019 BMW X1. Well maintained with full service history.
Jaguar,Unknown Model,2016,"$10,130","87,430 km",Plug-in Hybrid,Automatic,1.9L,Black,https://www.contactcars.com/en/used-cars/jaguar/unknown-model-2016,Excellent condition 2016 Jaguar Unknown Model. Well maintained with full service history.
Renault,Unknown Model,2021,"$35,562","124,250 km",Plug-in Hybrid,Automatic,3.5L,White,https://www.contactcars.com/en/used-cars/renault/unknown-model-2021,Excellent condition 2021 Renault Unknown Model. Well maintained with full service history.
Mercedes-Benz,GLC,2014,$0,"6,826 km",Gasoline,Semi-Automatic,1.5L,Silver,https://www.contactcars.com/en/used-cars/mercedes-benz/glc-2014,Excellent condition 2014 Mercedes-Benz GLC. Well maintained with full service history.
Smart,Unknown Model,2017,"$22,428","87,226 km",Hybrid,Automatic,6.4L,Red,https://www.contactcars.com/en/used-cars/smart/unknown-model-2017,Excellent condition 2017 Smart Unknown Model. Well maintained with full service history.
Rolls-Royce,Unknown Model,2011,"$-149,975","114,775 km",Electric,Automatic,5.8L,Silver,https://www.contactcars.com/en/used-cars/rolls-royce/unknown-model-2011,Excellent condition 2011 Rolls-Royce Unknown Model. Well maintained with full service history.
Honda,Civic,2020,"$13,420","119,939 km",Diesel,CVT,3.2L,Green,https://www.contactcars.com/en/used-cars/honda/civic-2020,Excellent condition 2020 Honda Civic. Well maintained with full service history.
Audi,S3,2020,"$65,902","11,343 km",Electric,Semi-Automatic,5.3L,Gray,https://www.contactcars.com/en/used-cars/audi/s3-2020,Excellent condition 2020 Audi S3. Well maintained with full service history.
Seat,Unknown Model,2021,"$55,904","15,143 km",Hybrid,CVT,3.4L,Yellow,https://www.contactcars.com/en/used-cars/seat/unknown-model-2021,Excellent condition 2021 Seat Unknown Model. Well maintained with full service history.
GMC,Unknown Model,2018,"$17,521","81,438 km",Hybrid,Automatic,4.5L,Red,https://www.contactcars.com/en/used-cars/gmc/unknown-model-2018,Excellent condition 2018 GMC Unknown Model. Well maintained with full service history.
Fiat,Unknown Model,2024,"$24,530","103,634 km",Hybrid,Semi-Automatic,2.7L,Orange,https://www.contactcars.com/en/used-cars/fiat/unknown-model-2024,Excellent condition 2024 Fiat Unknown Model. Well maintained with full service history.
Cadillac,Unknown Model,2013,"$-5,975","97,653 km",Hybrid,Semi-Automatic,4.8L,Gray,https://www.contactcars.com/en/used-cars/cadillac/unknown-model-2013,Excellent condition 2013 Cadillac Unknown Model. Well maintained with full service history.
Ferrari,Unknown Model,2010,"$-130,142","36,920 km",Plug-in Hybrid,Automatic,6.1L,Yellow,https://www.contactcars.com/en/used-cars/ferrari/unknown-model-2010,Excellent condition 2010 Ferrari Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2013,"$-6,942","17,626 km",Plug-in Hybrid,Semi-Automatic,4.2L,Red,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2013,Excellent condition 2013 Maybach Unknown Model. Well maintained with full service history.
Subaru,Unknown Model,2021,"$18,727","43,364 km",Hybrid,Semi-Automatic,1.9L,Silver,https://www.contactcars.com/en/used-cars/subaru/unknown-model-2021,Excellent condition 2021 Subaru Unknown Model. Well maintained with full service history.
Volvo,Unknown Model,2020,"$34,104","31,243 km",Plug-in Hybrid,Manual,3.3L,Gray,https://www.contactcars.com/en/used-cars/volvo/unknown-model-2020,Excellent condition 2020 Volvo Unknown Model. Well maintained with full service history.
Mini,Unknown Model,2011,"$-8,142","82,062 km",Diesel,Semi-Automatic,6.5L,Gray,https://www.contactcars.com/en/used-cars/mini/unknown-model-2011,Excellent condition 2011 Mini Unknown Model. Well maintained with full service history.
Smart,Unknown Model,2021,"$29,626","96,479 km",Hybrid,Automatic,5.4L,Red,https://www.contactcars.com/en/used-cars/smart/unknown-model-2021,Excellent condition 2021 Smart Unknown Model. Well maintained with full service history.
Buick,Unknown Model,2011,"$-22,032","54,045 km",Gasoline,Semi-Automatic,2.6L,Yellow,https://www.contactcars.com/en/used-cars/buick/unknown-model-2011,Excellent condition 2011 Buick Unknown Model. Well maintained with full service history.
Lotus,Unknown Model,2022,"$26,576","93,733 km",Electric,Automatic,5.1L,Red,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2022,Excellent condition 2022 Lotus Unknown Model. Well maintained with full service history.
Infiniti,Unknown Model,2023,"$49,990","108,364 km",Gasoline,Semi-Automatic,1.6L,Green,https://www.contactcars.com/en/used-cars/infiniti/unknown-model-2023,Excellent condition 2023 Infiniti Unknown Model. Well maintained with full service history.
Buick,Unknown Model,2022,"$26,976","59,716 km",Gasoline,Semi-Automatic,1.5L,Silver,https://www.contactcars.com/en/used-cars/buick/unknown-model-2022,Excellent condition 2022 Buick Unknown Model. Well maintained with full service history.
Saturn,Unknown Model,2011,"$-20,831","115,306 km",Hybrid,CVT,4.0L,Yellow,https://www.contactcars.com/en/used-cars/saturn/unknown-model-2011,Excellent condition 2011 Saturn Unknown Model. Well maintained with full service history.
BMW,2 Series,2010,"$-19,794","89,627 km",Diesel,CVT,6.6L,Gray,https://www.contactcars.com/en/used-cars/bmw/2-series-2010,Excellent condition 2010 BMW 2 Series. Well maintained with full service history.
Citroen,Unknown Model,2010,"$-12,113","136,622 km",Hybrid,CVT,3.3L,Green,https://www.contactcars.com/en/used-cars/citroen/unknown-model-2010,Excellent condition 2010 Citroen Unknown Model. Well maintained with full service history.
Alfa Romeo,Giulia,2023,"$57,838","17,371 km",Hybrid,Semi-Automatic,2.3L,White,https://www.contactcars.com/en/used-cars/alfa-romeo/giulia-2023,Excellent condition 2023 Alfa Romeo Giulia. Well maintained with full service history.
Toyota,Prius,2020,"$15,371","35,054 km",Gasoline,Automatic,4.8L,Blue,https://www.contactcars.com/en/used-cars/toyota/prius-2020,Excellent condition 2020 Toyota Prius. Well maintained with full service history.
Ferrari,Unknown Model,2014,$0,"111,401 km",Hybrid,CVT,5.9L,Silver,https://www.contactcars.com/en/used-cars/ferrari/unknown-model-2014,Excellent condition 2014 Ferrari Unknown Model. Well maintained with full service history.
Bentley,Unknown Model,2014,$0,"53,660 km",Electric,Manual,5.8L,Silver,https://www.contactcars.com/en/used-cars/bentley/unknown-model-2014,Excellent condition 2014 Bentley Unknown Model. Well maintained with full service history.
Seat,Unknown Model,2024,"$44,077","91,313 km",Diesel,Manual,4.6L,Red,https://www.contactcars.com/en/used-cars/seat/unknown-model-2024,Excellent condition 2024 Seat Unknown Model. Well maintained with full service history.
Lotus,Unknown Model,2015,"$3,753","19,883 km",Gasoline,CVT,5.1L,Green,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2015,Excellent condition 2015 Lotus Unknown Model. Well maintained with full service history.
Opel,Unknown Model,2016,"$14,957","52,985 km",Hybrid,CVT,6.9L,Orange,https://www.contactcars.com/en/used-cars/opel/unknown-model-2016,Excellent condition 2016 Opel Unknown Model. Well maintained with full service history.
Scion,Unknown Model,2015,"$7,814","148,913 km",Diesel,Semi-Automatic,3.5L,White,https://www.contactcars.com/en/used-cars/scion/unknown-model-2015,Excellent condition 2015 Scion Unknown Model. Well maintained with full service history.
Mercedes-Benz,GLA,2018,"$32,104","53,712 km",Hybrid,CVT,5.6L,Yellow,https://www.contactcars.com/en/used-cars/mercedes-benz/gla-2018,Excellent condition 2018 Mercedes-Benz GLA. Well maintained with full service history.
Rolls-Royce,Unknown Model,2022,"$333,635","73,074 km",Electric,CVT,5.8L,Blue,https://www.contactcars.com/en/used-cars/rolls-royce/unknown-model-2022,Excellent condition 2022 Rolls-Royce Unknown Model. Well maintained with full service history.
Mini,Unknown Model,2016,"$14,500","35,155 km",Gasoline,Automatic,3.8L,Silver,https://www.contactcars.com/en/used-cars/mini/unknown-model-2016,Excellent condition 2016 Mini Unknown Model. Well maintained with full service history.
Ford,Explorer,2024,"$62,791","95,460 km",Gasoline,CVT,1.2L,Black,https://www.contactcars.com/en/used-cars/ford/explorer-2024,Excellent condition 2024 Ford Explorer. Well maintained with full service history.
Dodge,Unknown Model,2020,"$42,176","54,907 km",Diesel,Semi-Automatic,4.0L,Silver,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2020,Excellent condition 2020 Dodge Unknown Model. Well maintained with full service history.
Dodge,Unknown Model,2011,"$-10,683","146,569 km",Diesel,CVT,6.5L,Green,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2011,Excellent condition 2011 Dodge Unknown Model. Well maintained with full service history.
Lamborghini,Unknown Model,2020,"$253,255","3,527 km",Diesel,Automatic,4.8L,Blue,https://www.contactcars.com/en/used-cars/lamborghini/unknown-model-2020,Excellent condition 2020 Lamborghini Unknown Model. Well maintained with full service history.
Fiat,Unknown Model,2016,"$14,417","146,768 km",Plug-in Hybrid,CVT,6.0L,White,https://www.contactcars.com/en/used-cars/fiat/unknown-model-2016,Excellent condition 2016 Fiat Unknown Model. Well maintained with full service history.
McLaren,Unknown Model,2015,"$6,916","129,462 km",Hybrid,Manual,5.1L,Blue,https://www.contactcars.com/en/used-cars/mclaren/unknown-model-2015,Excellent condition 2015 McLaren Unknown Model. Well maintained with full service history.
Chevrolet,Camaro,2010,"$-26,092","95,490 km",Diesel,CVT,6.7L,Gray,https://www.contactcars.com/en/used-cars/chevrolet/camaro-2010,Excellent condition 2010 Chevrolet Camaro. Well maintained with full service history.
Seat,Unknown Model,2019,"$10,950","118,483 km",Plug-in Hybrid,Manual,1.1L,Black,https://www.contactcars.com/en/used-cars/seat/unknown-model-2019,Excellent condition 2019 Seat Unknown Model. Well maintained with full service history.
Jaguar,Unknown Model,2019,"$22,878","118,453 km",Diesel,Manual,3.9L,Red,https://www.contactcars.com/en/used-cars/jaguar/unknown-model-2019,Excellent condition 2019 Jaguar Unknown Model. Well maintained with full service history.
Volvo,Unknown Model,2021,"$22,568","145,626 km",Diesel,Automatic,4.7L,Silver,https://www.contactcars.com/en/used-cars/volvo/unknown-model-2021,Excellent condition 2021 Volvo Unknown Model. Well maintained with full service history.
Jaguar,Unknown Model,2013,"$-6,783","48,922 km",Plug-in Hybrid,Manual,1.4L,Gray,https://www.contactcars.com/en/used-cars/jaguar/unknown-model-2013,Excellent condition 2013 Jaguar Unknown Model. Well maintained with full service history.
GMC,Unknown Model,2018,"$6,182","42,522 km",Gasoline,Automatic,6.9L,Yellow,https://www.contactcars.com/en/used-cars/gmc/unknown-model-2018,Excellent condition 2018 GMC Unknown Model. Well maintained with full service history.
Suzuki,Unknown Model,2015,"$7,913","70,358 km",Electric,CVT,1.5L,Yellow,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2015,Excellent condition 2015 Suzuki Unknown Model. Well maintained with full service history.
Honda,CR-V,2011,"$-20,682","69,484 km",Hybrid,Automatic,3.3L,Green,https://www.contactcars.com/en/used-cars/honda/cr-v-2011,Excellent condition 2011 Honda CR-V. Well maintained with full service history.
Buick,Unknown Model,2011,"$-13,152","30,886 km",Diesel,Automatic,6.1L,Green,https://www.contactcars.com/en/used-cars/buick/unknown-model-2011,Excellent condition 2011 Buick Unknown Model. Well maintained with full service history.
Chrysler,Unknown Model,2014,$0,"89,857 km",Diesel,Manual,5.1L,Gray,https://www.contactcars.com/en/used-cars/chrysler/unknown-model-2014,Excellent condition 2014 Chrysler Unknown Model. Well maintained with full service history.
Tesla,Unknown Model,2022,"$61,438","46,072 km",Gasoline,Semi-Automatic,4.2L,Yellow,https://www.contactcars.com/en/used-cars/tesla/unknown-model-2022,Excellent condition 2022 Tesla Unknown Model. Well maintained with full service history.
Peugeot,Unknown Model,2021,"$20,889","82,141 km",Gasoline,Semi-Automatic,6.0L,Black,https://www.contactcars.com/en/used-cars/peugeot/unknown-model-2021,Excellent condition 2021 Peugeot Unknown Model. Well maintained with full service history.
Land Rover,Unknown Model,2010,"$-22,875","42,919 km",Diesel,Automatic,5.2L,Blue,https://www.contactcars.com/en/used-cars/land-rover/unknown-model-2010,Excellent condition 2010 Land Rover Unknown Model. Well maintained with full service history.
Infiniti,Unknown Model,2011,"$-4,586","33,572 km",Diesel,Automatic,5.1L,Black,https://www.contactcars.com/en/used-cars/infiniti/unknown-model-2011,Excellent condition 2011 Infiniti Unknown Model. Well maintained with full service history.
Dodge,Unknown Model,2017,"$17,007","26,170 km",Hybrid,Semi-Automatic,3.1L,Red,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2017,Excellent condition 2017 Dodge Unknown Model. Well maintained with full service history.
Volkswagen,Golf,2018,"$6,106","138,731 km",Gasoline,Semi-Automatic,5.5L,Gray,https://www.contactcars.com/en/used-cars/volkswagen/golf-2018,Excellent condition 2018 Volkswagen Golf. Well maintained with full service history.
Seat,Unknown Model,2020,"$13,882","86,383 km",Gasoline,CVT,2.8L,Gray,https://www.contactcars.com/en/used-cars/seat/unknown-model-2020,Excellent condition 2020 Seat Unknown Model. Well maintained with full service history.
Subaru,Unknown Model,2015,"$7,558","130,086 km",Diesel,Automatic,2.2L,Silver,https://www.contactcars.com/en/used-cars/subaru/unknown-model-2015,Excellent condition 2015 Subaru Unknown Model. Well maintained with full service history.
Jaguar,Unknown Model,2010,"$-28,192","141,884 km",Plug-in Hybrid,Manual,1.9L,Blue,https://www.contactcars.com/en/used-cars/jaguar/unknown-model-2010,Excellent condition 2010 Jaguar Unknown Model. Well maintained with full service history.
Hyundai,Unknown Model,2017,"$10,453","95,771 km",Hybrid,Semi-Automatic,4.8L,Red,https://www.contactcars.com/en/used-cars/hyundai/unknown-model-2017,Excellent condition 2017 Hyundai Unknown Model. Well maintained with full service history.
Lexus,Unknown Model,2012,"$-13,691","100,868 km",Hybrid,CVT,6.3L,Orange,https://www.contactcars.com/en/used-cars/lexus/unknown-model-2012,Excellent condition 2012 Lexus Unknown Model. Well maintained with full service history.
Chevrolet,Malibu,2021,"$19,292","95,694 km",Electric,Automatic,4.0L,White,https://www.contactcars.com/en/used-cars/chevrolet/malibu-2021,Excellent condition 2021 Chevrolet Malibu. Well maintained with full service history.
Seat,Unknown Model,2021,"$29,799","68,799 km",Diesel,Automatic,6.8L,Silver,https://www.contactcars.com/en/used-cars/seat/unknown-model-2021,Excellent condition 2021 Seat Unknown Model. Well maintained with full service history.
Scion,Unknown Model,2011,"$-18,215","44,002 km",Plug-in Hybrid,Automatic,6.2L,Green,https://www.contactcars.com/en/used-cars/scion/unknown-model-2011,Excellent condition 2011 Scion Unknown Model. Well maintained with full service history.
Rolls-Royce,Unknown Model,2019,"$185,333","134,481 km",Electric,Manual,1.4L,Gray,https://www.contactcars.com/en/used-cars/rolls-royce/unknown-model-2019,Excellent condition 2019 Rolls-Royce Unknown Model. Well maintained with full service history.
Pontiac,Unknown Model,2017,"$23,504","12,404 km",Electric,Semi-Automatic,5.4L,Gray,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2017,Excellent condition 2017 Pontiac Unknown Model. Well maintained with full service history.
Peugeot,Unknown Model,2021,"$32,632","79,465 km",Gasoline,Semi-Automatic,2.4L,White,https://www.contactcars.com/en/used-cars/peugeot/unknown-model-2021,Excellent condition 2021 Peugeot Unknown Model. Well maintained with full service history.
Mini,Unknown Model,2020,"$21,226","125,200 km",Hybrid,Semi-Automatic,3.4L,Yellow,https://www.contactcars.com/en/used-cars/mini/unknown-model-2020,Excellent condition 2020 Mini Unknown Model. Well maintained with full service history.
Toyota,Camry,2017,"$23,485","62,774 km",Diesel,Semi-Automatic,5.2L,Red,https://www.contactcars.com/en/used-cars/toyota/camry-2017,Excellent condition 2017 Toyota Camry. Well maintained with full service history.
Land Rover,Unknown Model,2014,$0,"78,930 km",Electric,Semi-Automatic,6.0L,White,https://www.contactcars.com/en/used-cars/land-rover/unknown-model-2014,Excellent condition 2014 Land Rover Unknown Model. Well maintained with full service history.
Fiat,Unknown Model,2019,"$15,850","63,987 km",Electric,Semi-Automatic,6.1L,Blue,https://www.contactcars.com/en/used-cars/fiat/unknown-model-2019,Excellent condition 2019 Fiat Unknown Model. Well maintained with full service history.
Volvo,Unknown Model,2011,"$-12,006","128,642 km",Gasoline,CVT,1.2L,Yellow,https://www.contactcars.com/en/used-cars/volvo/unknown-model-2011,Excellent condition 2011 Volvo Unknown Model. Well maintained with full service history.
Chevrolet,Malibu,2020,"$37,003","48,533 km",Electric,CVT,1.0L,Gray,https://www.contactcars.com/en/used-cars/chevrolet/malibu-2020,Excellent condition 2020 Chevrolet Malibu. Well maintained with full service history.
Maserati,Unknown Model,2012,"$-5,354","147,421 km",Plug-in Hybrid,Automatic,1.8L,Black,https://www.contactcars.com/en/used-cars/maserati/unknown-model-2012,Excellent condition 2012 Maserati Unknown Model. Well maintained with full service history.
Dodge,Unknown Model,2018,"$13,283","20,348 km",Diesel,CVT,2.3L,Orange,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2018,Excellent condition 2018 Dodge Unknown Model. Well maintained with full service history.
Mini,Unknown Model,2012,"$-9,620","74,418 km",Plug-in Hybrid,Manual,2.3L,Silver,https://www.contactcars.com/en/used-cars/mini/unknown-model-2012,Excellent condition 2012 Mini Unknown Model. Well maintained with full service history.
Subaru,Unknown Model,2022,"$18,374","115,454 km",Diesel,Semi-Automatic,2.4L,Blue,https://www.contactcars.com/en/used-cars/subaru/unknown-model-2022,Excellent condition 2022 Subaru Unknown Model. Well maintained with full service history.
Tesla,Unknown Model,2019,"$37,437","2,345 km",Gasoline,CVT,6.0L,Gray,https://www.contactcars.com/en/used-cars/tesla/unknown-model-2019,Excellent condition 2019 Tesla Unknown Model. Well maintained with full service history.
Porsche,Unknown Model,2020,"$43,746","90,734 km",Diesel,CVT,6.6L,Red,https://www.contactcars.com/en/used-cars/porsche/unknown-model-2020,Excellent condition 2020 Porsche Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2011,"$-13,765","85,438 km",Gasoline,CVT,3.8L,Blue,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2011,Excellent condition 2011 Maybach Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2013,"$-6,125","63,084 km",Gasoline,Manual,5.0L,Silver,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2013,Excellent condition 2013 Maybach Unknown Model. Well maintained with full service history.
Land Rover,Unknown Model,2020,"$44,028","111,010 km",Electric,Automatic,1.4L,Orange,https://www.contactcars.com/en/used-cars/land-rover/unknown-model-2020,Excellent condition 2020 Land Rover Unknown Model. Well maintained with full service history.
Chevrolet,Silverado,2020,"$28,917","91,123 km",Gasoline,Automatic,1.2L,Blue,https://www.contactcars.com/en/used-cars/chevrolet/silverado-2020,Excellent condition 2020 Chevrolet Silverado. Well maintained with full service history.
GMC,Unknown Model,2022,"$30,820","39,170 km",Gasoline,Automatic,1.0L,Blue,https://www.contactcars.com/en/used-cars/gmc/unknown-model-2022,Excellent condition 2022 GMC Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2013,"$-5,249","59,568 km",Plug-in Hybrid,CVT,4.7L,Black,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2013,Excellent condition 2013 Maybach Unknown Model. Well maintained with full service history.
Acura,Unknown Model,2021,"$21,723","63,414 km",Hybrid,Semi-Automatic,2.9L,Black,https://www.contactcars.com/en/used-cars/acura/unknown-model-2021,Excellent condition 2021 Acura Unknown Model. Well maintained with full service history.
Land Rover,Unknown Model,2019,"$13,057","94,102 km",Gasoline,CVT,4.6L,Gray,https://www.contactcars.com/en/used-cars/land-rover/unknown-model-2019,Excellent condition 2019 Land Rover Unknown Model. Well maintained with full service history.
Rolls-Royce,Unknown Model,2018,"$145,081","101,689 km",Gasoline,Manual,4.7L,Red,https://www.contactcars.com/en/used-cars/rolls-royce/unknown-model-2018,Excellent condition 2018 Rolls-Royce Unknown Model. Well maintained with full service history.
Lotus,Unknown Model,2024,"$73,187","141,225 km",Plug-in Hybrid,Manual,1.5L,Orange,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2024,Excellent condition 2024 Lotus Unknown Model. Well maintained with full service history.
Chevrolet,Tahoe,2022,"$57,253","15,954 km",Plug-in Hybrid,Semi-Automatic,1.7L,Black,https://www.contactcars.com/en/used-cars/chevrolet/tahoe-2022,Excellent condition 2022 Chevrolet Tahoe. Well maintained with full service history.
Buick,Unknown Model,2023,"$53,752","117,497 km",Hybrid,Semi-Automatic,3.1L,Red,https://www.contactcars.com/en/used-cars/buick/unknown-model-2023,Excellent condition 2023 Buick Unknown Model. Well maintained with full service history.
Ferrari,Unknown Model,2016,"$59,107","49,271 km",Electric,Manual,2.2L,White,https://www.contactcars.com/en/used-cars/ferrari/unknown-model-2016,Excellent condition 2016 Ferrari Unknown Model. Well maintained with full service history.
Suzuki,Unknown Model,2016,"$12,663","96,649 km",Hybrid,Semi-Automatic,1.3L,Gray,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2016,Excellent condition 2016 Suzuki Unknown Model. Well maintained with full service history.
Seat,Unknown Model,2012,"$-10,391","23,219 km",Electric,Semi-Automatic,3.3L,Red,https://www.contactcars.com/en/used-cars/seat/unknown-model-2012,Excellent condition 2012 Seat Unknown Model. Well maintained with full service history.
Rolls-Royce,Unknown Model,2011,"$-144,138","91,014 km",Diesel,Automatic,6.9L,Silver,https://www.contactcars.com/en/used-cars/rolls-royce/unknown-model-2011,Excellent condition 2011 Rolls-Royce Unknown Model. Well maintained with full service history.
Toyota,Yaris,2023,"$46,650","41,355 km",Electric,Manual,5.8L,Silver,https://www.contactcars.com/en/used-cars/toyota/yaris-2023,Excellent condition 2023 Toyota Yaris. Well maintained with full service history.
Lotus,Unknown Model,2021,"$48,512","140,539 km",Gasoline,Automatic,5.9L,Yellow,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2021,Excellent condition 2021 Lotus Unknown Model. Well maintained with full service history.
Pontiac,Unknown Model,2024,"$67,021","55,682 km",Electric,Manual,1.2L,Blue,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2024,Excellent condition 2024 Pontiac Unknown Model. Well maintained with full service history.
Lamborghini,Unknown Model,2016,"$59,802","140,586 km",Electric,CVT,1.3L,Orange,https://www.contactcars.com/en/used-cars/lamborghini/unknown-model-2016,Excellent condition 2016 Lamborghini Unknown Model. Well maintained with full service history.
Pontiac,Unknown Model,2021,"$10,836","69,460 km",Hybrid,Automatic,5.7L,Green,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2021,Excellent condition 2021 Pontiac Unknown Model. Well maintained with full service history.
Renault,Unknown Model,2020,"$17,480","62,457 km",Gasoline,Semi-Automatic,1.1L,Red,https://www.contactcars.com/en/used-cars/renault/unknown-model-2020,Excellent condition 2020 Renault Unknown Model. Well maintained with full service history.
Lamborghini,Unknown Model,2016,"$55,319","107,320 km",Gasoline,Automatic,5.5L,White,https://www.contactcars.com/en/used-cars/lamborghini/unknown-model-2016,Excellent condition 2016 Lamborghini Unknown Model. Well maintained with full service history.
Toyota,RAV4,2014,$0,"113,486 km",Gasoline,Automatic,6.1L,Black,https://www.contactcars.com/en/used-cars/toyota/rav4-2014,Excellent condition 2014 Toyota RAV4. Well maintained with full service history.
BMW,X1,2012,"$-16,148","49,095 km",Electric,Manual,2.8L,Orange,https://www.contactcars.com/en/used-cars/bmw/x1-2012,Excellent condition 2012 BMW X1. Well maintained with full service history.
Alfa Romeo,Stelvio,2012,"$-9,239","40,560 km",Gasoline,CVT,6.9L,Green,https://www.contactcars.com/en/used-cars/alfa-romeo/stelvio-2012,Excellent condition 2012 Alfa Romeo Stelvio. Well maintained with full service history.
Chevrolet,Cruze,2012,"$-10,669","128,909 km",Diesel,CVT,5.0L,Green,https://www.contactcars.com/en/used-cars/chevrolet/cruze-2012,Excellent condition 2012 Chevrolet Cruze. Well maintained with full service history.
Mazda,Unknown Model,2024,"$76,901","105,818 km",Diesel,Semi-Automatic,3.5L,Orange,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2024,Excellent condition 2024 Mazda Unknown Model. Well maintained with full service history.
Chrysler,Unknown Model,2021,"$42,648","100,421 km",Plug-in Hybrid,CVT,5.0L,Red,https://www.contactcars.com/en/used-cars/chrysler/unknown-model-2021,Excellent condition 2021 Chrysler Unknown Model. Well maintained with full service history.
Ford,Focus,2024,"$77,067","4,355 km",Plug-in Hybrid,Manual,6.2L,Blue,https://www.contactcars.com/en/used-cars/ford/focus-2024,Excellent condition 2024 Ford Focus. Well maintained with full service history.
Volvo,Unknown Model,2014,$0,"148,900 km",Diesel,CVT,6.3L,White,https://www.contactcars.com/en/used-cars/volvo/unknown-model-2014,Excellent condition 2014 Volvo Unknown Model. Well maintained with full service history.
Alfa Romeo,Giulietta,2017,"$20,978","108,889 km",Plug-in Hybrid,Manual,6.3L,White,https://www.contactcars.com/en/used-cars/alfa-romeo/giulietta-2017,Excellent condition 2017 Alfa Romeo Giulietta. Well maintained with full service history.
Lotus,Unknown Model,2019,"$31,218","34,549 km",Diesel,Semi-Automatic,1.9L,Yellow,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2019,Excellent condition 2019 Lotus Unknown Model. Well maintained with full service history.
Volkswagen,Tiguan,2021,"$43,904","6,313 km",Electric,Automatic,3.8L,Orange,https://www.contactcars.com/en/used-cars/volkswagen/tiguan-2021,Excellent condition 2021 Volkswagen Tiguan. Well maintained with full service history.
Nissan,Unknown Model,2018,"$13,982","106,755 km",Plug-in Hybrid,Semi-Automatic,2.4L,Black,https://www.contactcars.com/en/used-cars/nissan/unknown-model-2018,Excellent condition 2018 Nissan Unknown Model. Well maintained with full service history.
BMW,5 Series,2014,$0,"60,709 km",Electric,Semi-Automatic,1.9L,White,https://www.contactcars.com/en/used-cars/bmw/5-series-2014,Excellent condition 2014 BMW 5 Series. Well maintained with full service history.
Chrysler,Unknown Model,2016,"$3,394","137,934 km",Diesel,Semi-Automatic,6.8L,Gray,https://www.contactcars.com/en/used-cars/chrysler/unknown-model-2016,Excellent condition 2016 Chrysler Unknown Model. Well maintained with full service history.
